

lastname, firstname, residentID, programID, name

Clay, Emmanuel, 31941595, IMD, Internal Medicine, 
Mahoney, Meredith, 17181463, ROC, Radiation Oncology, 
Johnston, Elodie, 34903688, XXX, NOT_MATCHED, 
Santiago, Roland, 62088333, IMD, Internal Medicine, 
Bryan, Clark, 20138503, NRO, Neurology, 
Sampson, Paige, 99022177, FMD, Family Medicine, 
Bishop, Elaine, 82444996, XXX, NOT_MATCHED, 
Harmon, Ruby, 96066280, XXX, NOT_MATCHED, 
Barnett, Raul, 72760818, FMD, Family Medicine, 
Delacruz, Caspian, 32651451, OPH, Ophthalmology, 
Kemp, Asher, 40816559, FMD, Family Medicine, 
Lam, Kamryn, 37350225, IMD, Internal Medicine, 
Novak, Dior, 57280628, OBG, Obstetrics and Gynecology, 
Salazar, Jesus, 42117390, ORS, Orthopedic Surgery, 
Castillo, Cecelia, 73203256, XXX, NOT_MATCHED, 
Fields, Augustine, 53801300, XXX, NOT_MATCHED, 
Castillo, Eliseo, 24095258, PDT, Pediatrics, 
Cline, Jett, 33630387, IMD, Internal Medicine, 
Horton, Kairi, 96760538, EMD, Emergency Medicine, 
Booth, Ryann, 81792701, IMD, Internal Medicine, 
Lowery, Guillermo, 58178956, XXX, NOT_MATCHED, 
Williamson, Marlon, 22007590, XXX, NOT_MATCHED, 
Haynes, Jovie, 98233783, FMD, Family Medicine, 
Russell, Chaya, 57679504, XXX, NOT_MATCHED, 
Barr, Lilah, 52886646, PSY, Psychiatry, 
Kelly, Ari, 22885759, DMT, Dermatology, 
Wolf, Remy, 90838687, OBG, Obstetrics and Gynecology, 
Juarez, Conrad, 21104079, PDT, Pediatrics, 
Frost, Mallory, 87885312, XXX, NOT_MATCHED, 
Gibson, Jerry, 69000482, XXX, NOT_MATCHED, 
Hammond, Kairo, 13726978, FMD, Family Medicine, 
Calhoun, Thatcher, 82372119, IMD, Internal Medicine, 
Castillo, Reese, 71036244, PDT, Pediatrics, 
Huffman, Cooper, 98331805, GSU, General Surgery, 
Tran, Pierce, 25997951, FMD, Family Medicine, 
Small, Amaris, 56050990, ORS, Orthopedic Surgery, 
Montoya, Priscilla, 11249593, PDT, Pediatrics, 
Conley, Gracelynn, 21524973, EMD, Emergency Medicine, 
McConnell, Trey, 36030887, PMR, Physical Medicine & Rehabilitation, 
Kemp, Laila, 67062993, OTO, Otolaryngology - Head and Neck Surgery, 
Watts, Gunner, 46399957, XXX, NOT_MATCHED, 
Yates, Emmanuel, 84690441, XXX, NOT_MATCHED, 
Lambert, Marvin, 97654337, XXX, NOT_MATCHED, 
Greer, Guadalupe, 29647231, FMD, Family Medicine, 
Morrison, Graham, 91133994, XXX, NOT_MATCHED, 
Pitts, Paloma, 26418334, PSY, Psychiatry, 
Burch, Tate, 27731896, FMD, Family Medicine, 
Xiong, Frankie, 93794888, OBG, Obstetrics and Gynecology, 
McIntyre, Selena, 28693395, FMD, Family Medicine, 
Kirk, Alistair, 65834485, PSY, Psychiatry, 
Jordan, Kora, 56218795, IMD, Internal Medicine, 
Estes, Aubriella, 19353437, FMD, Family Medicine, 
Henderson, Wesson, 34837717, XXX, NOT_MATCHED, 
Gentry, Amora, 28461835, FMD, Family Medicine, 
Michael, Rivka, 28645464, GSU, General Surgery, 
Potter, Nathalia, 33981397, FMD, Family Medicine, 
Hickman, Preston, 22904417, GSU, General Surgery, 
Dodson, Legacy, 86523289, FMD, Family Medicine, 
Barton, Anya, 89502411, ANT, Anesthesiology, 
Miller, Scarlet, 61537768, FMD, Family Medicine, 
Gallegos, Ramon, 26998533, FMD, Family Medicine, 
Barajas, Soren, 60205647, ROC, Radiation Oncology, 
Welch, Avah, 42301718, IMD, Internal Medicine, 
Newton, Briella, 56271028, XXX, NOT_MATCHED, 
Nichols, Beckett, 97806956, FMD, Family Medicine, 
Cameron, Averie, 40521019, FME, Family Medicine integrated Emergency Medicine, 
Roberson, Emerson, 99463927, FMD, Family Medicine, 
McGee, Zola, 12754008, IMD, Internal Medicine, 
Manning, Adalee, 87047656, XXX, NOT_MATCHED, 
Pruitt, Ulises, 45522317, ANT, Anesthesiology, 
Ayala, Lucy, 12714223, FMD, Family Medicine, 
Ali, Braden, 59918489, ORS, Orthopedic Surgery, 
Hess, Kayla, 67463573, FMI, Family Medicine integrated Clinician Scholar, 
Abbott, Davion, 98635409, FMD, Family Medicine, 
Noble, Regina, 61830287, XXX, NOT_MATCHED, 
Massey, Scout, 11642011, XXX, NOT_MATCHED, 
Barajas, Brandon, 58387550, FMD, Family Medicine, 
Norman, Terrance, 89684532, FMD, Family Medicine, 
Faulkner, Karter, 64479152, FMD, Family Medicine, 
McLaughlin, Ximena, 37274235, FMD, Family Medicine, 
Atkins, Hadlee, 57016049, FMD, Family Medicine, 
Stafford, Halo, 60178331, XXX, NOT_MATCHED, 
Mullins, Ronin, 63813021, FMD, Family Medicine, 
Lin, Anna, 35130397, FMD, Family Medicine, 
Norton, Brooke, 53073735, FMD, Family Medicine, 
Reyes, Jaylen, 60514349, FMD, Family Medicine, 
Herrera, Della, 53313894, ANT, Anesthesiology, 
Allen, Kamden, 79629256, PDT, Pediatrics, 
Goodwin, Lyric, 28861130, IMD, Internal Medicine, 
Whitehead, Gideon, 93756437, XXX, NOT_MATCHED, 
Hale, Kadence, 60080441, XXX, NOT_MATCHED, 
Horne, Zaid, 10819590, XXX, NOT_MATCHED, 
Melendez, Raylan, 48826403, FMD, Family Medicine, 
Nguyen, Helen, 49812393, PDT, Pediatrics, 
Kane, Atticus, 15958705, DMP, Diagnostic and Molecular Pathology, 
Sosa, Cassidy, 58653873, FMD, Family Medicine, 
Sampson, Maximilian, 76397029, FMD, Family Medicine, 
Garner, Wren, 96452957, XXX, NOT_MATCHED, 
Shannon, Addison, 53442752, XXX, NOT_MATCHED, 
Webb, Paityn, 98486607, FMD, Family Medicine, 
Duke, Emerson, 44608226, FMD, Family Medicine, 
Cortez, Baker, 20995249, XXX, NOT_MATCHED, 
Reyes, Addilyn, 23485499, FMD, Family Medicine, 
Fuller, Lochlan, 94679051, OPH, Ophthalmology, 
Hawkins, Crystal, 42212054, ORS, Orthopedic Surgery, 
Schneider, Titan, 21458203, XXX, NOT_MATCHED, 
Vang, Veda, 42940663, FMD, Family Medicine, 
Vasquez, Ellis, 15037961, FMD, Family Medicine, 
Martin, Raphael, 57843911, PSY, Psychiatry, 
Beard, Miley, 26489416, URO, Urology, 
Wise, Sevyn, 87811305, FMD, Family Medicine, 
Sweeney, Kolton, 40349002, FMD, Family Medicine, 
Brown, Evangeline, 87542673, FMD, Family Medicine, 
Collins, Alison, 74394776, XXX, NOT_MATCHED, 
Calhoun, Nova, 16301152, FMD, Family Medicine, 
Murray, Bryant, 34787759, FMD, Family Medicine, 
Hogan, Brittany, 94461859, FME, Family Medicine integrated Emergency Medicine, 
Alvarez, Calvin, 78403825, XXX, NOT_MATCHED, 
Magana, Ramona, 56762264, XXX, NOT_MATCHED, 
Bartlett, Felipe, 83276907, PDT, Pediatrics, 
Adkins, Elianna, 74951483, FMD, Family Medicine, 
Glenn, Reagan, 76876953, FMD, Family Medicine, 
Woodward, Jayleen, 79590174, XXX, NOT_MATCHED, 
Spears, Brynlee, 90092282, FMD, Family Medicine, 
Nava, Iris, 72894557, XXX, NOT_MATCHED, 
Jarvis, Owen, 65017352, FMD, Family Medicine, 
Elliott, Calliope, 85229114, FMD, Family Medicine, 
Patton, Bo, 66322452, OBG, Obstetrics and Gynecology, 
Hensley, Penny, 55970949, PSY, Psychiatry, 
Brewer, Gerardo, 12456615, IMD, Internal Medicine, 
Bowman, Roger, 56213556, FMD, Family Medicine, 
Serrano, Giana, 82416627, FMD, Family Medicine, 
Lawson, Violeta, 98901461, FMD, Family Medicine, 
Nolan, Alexandra, 66549194, URO, Urology, 
Wall, Dani, 14848322, DMT, Dermatology, 
Bernal, Omar, 83813543, IMD, Internal Medicine, 
Cox, Braxton, 28525545, EMD, Emergency Medicine, 
Duran, Joseph, 54903255, FMD, Family Medicine, 
Spears, Norah, 20303451, XXX, NOT_MATCHED, 
Washington, Fallon, 91413016, XXX, NOT_MATCHED, 
Gould, Iker, 27532969, PSU, Plastic Surgery, 
Sheppard, Garrett, 87467211, PSU, Plastic Surgery, 
Russo, Kieran, 69707555, ANT, Anesthesiology, 
Wang, Ryleigh, 74772779, PSY, Psychiatry, 
Jimenez, Genevieve, 24738412, FMD, Family Medicine, 
Pham, Stefan, 97349457, FMD, Family Medicine, 
Moss, Cecilia, 42289788, FMD, Family Medicine, 
Velasquez, Sage, 11165857, FMD, Family Medicine, 
Martin, Alessandro, 54106055, ANT, Anesthesiology, 
Holloway, Nora, 29325474, FMD, Family Medicine, 
Yates, Joaquin, 90892514, XXX, NOT_MATCHED, 
Benjamin, Aliyah, 33123557, FMD, Family Medicine, 
Donaldson, Idris, 45457431, FMD, Family Medicine, 
Bates, Nicole, 48292353, XXX, NOT_MATCHED, 
Person, Dakota, 39699245, XXX, NOT_MATCHED, 
Dixon, Karsyn, 69461598, XXX, NOT_MATCHED, 
Nicholson, Diana, 53977346, FMD, Family Medicine, 
Humphrey, Keilani, 14683399, FMD, Family Medicine, 
Browning, Sloan, 52697346, XXX, NOT_MATCHED, 
Davila, Holden, 19404648, XXX, NOT_MATCHED, 
Green, Kennedy, 22587597, XXX, NOT_MATCHED, 
Miranda, Eileen, 83291183, PSY, Psychiatry, 
Yu, Wrenley, 62256720, FMD, Family Medicine, 
Howard, Dorothy, 12169068, IMD, Internal Medicine, 
Hicks, Sawyer, 56026338, PSY, Psychiatry, 
Spears, Luciana, 93986698, IMD, Internal Medicine, 
Mayer, Capri, 85301346, XXX, NOT_MATCHED, 
Rios, Kylo, 56450317, FMD, Family Medicine, 
Rosas, Kamila, 16145707, FMD, Family Medicine, 
Bradford, Raina, 30155068, ANT, Anesthesiology, 
Barron, Keanu, 16306866, IMD, Internal Medicine, 
Hardy, Priscilla, 98871534, FMD, Family Medicine, 
Castaneda, Derrick, 16854523, FMD, Family Medicine, 
Villegas, Emily, 27711754, ANT, Anesthesiology, 
Estes, Josephine, 40216799, FMD, Family Medicine, 
Knapp, Bailee, 41224463, XXX, NOT_MATCHED, 
Phan, Jessica, 37811182, FMD, Family Medicine, 
Rogers, Nathanael, 62667168, IMD, Internal Medicine, 
Rice, Ares, 56786261, ANT, Anesthesiology, 
Lynch, Sarai, 40248406, XXX, NOT_MATCHED, 
Figueroa, Mason, 85894014, FMD, Family Medicine, 
Bass, Freyja, 16448860, XXX, NOT_MATCHED, 
Wyatt, Zoe, 74631682, FMD, Family Medicine, 
Martin, Emberly, 38179651, FMD, Family Medicine, 
Waller, Franklin, 36357332, FMD, Family Medicine, 
Simmons, Abigail, 35333016, IMD, Internal Medicine, 
Reyna, Stephanie, 56825591, PSY, Psychiatry, 
Huynh, Jovie, 89723734, XXX, NOT_MATCHED, 
Allen, Tomas, 40846419, FMD, Family Medicine, 
Sandoval, Cynthia, 43689590, FMD, Family Medicine, 
Phillips, Elliot, 43234911, XXX, NOT_MATCHED, 
Evans, Victoria, 62937371, NRO, Neurology, 
Rasmussen, Caleb, 85401978, PDT, Pediatrics, 
Lim, Jazmin, 18070205, XXX, NOT_MATCHED, 
Thomas, Jagger, 44856038, FMD, Family Medicine, 
Vang, Briar, 69548696, FMD, Family Medicine, 
Russo, Dior, 19476170, IMD, Internal Medicine, 
Cain, Omar, 71489236, XXX, NOT_MATCHED, 
Moore, Dax, 77212328, FMD, Family Medicine, 
Church, Roger, 61439434, FMD, Family Medicine, 
Holt, Alexis, 35087083, XXX, NOT_MATCHED, 
Reilly, Jaxx, 63884934, PDT, Pediatrics, 
Terrell, Oakleigh, 20760945, XXX, NOT_MATCHED, 
Burke, Melanie, 47680423, FMD, Family Medicine, 
Murray, Connor, 12614182, FMD, Family Medicine, 
Schaefer, Cason, 63032376, XXX, NOT_MATCHED, 
Hansen, Amani, 45012373, XXX, NOT_MATCHED, 
Bowen, Delilah, 41412866, XXX, NOT_MATCHED, 
Boyd, Murphy, 72450138, FMD, Family Medicine, 
McMahon, Jocelyn, 73556754, IMD, Internal Medicine, 
Olsen, Zariyah, 52920249, XXX, NOT_MATCHED, 
Rowe, Jerry, 72228676, PDT, Pediatrics, 
Travis, Marilyn, 69451863, PSY, Psychiatry, 
Castillo, Callan, 19786641, FMD, Family Medicine, 
Hunter, Dax, 69740204, PMR, Physical Medicine & Rehabilitation, 
Dominguez, Rory, 95525639, XXX, NOT_MATCHED, 
Herrera, Blake, 51366727, DMP, Diagnostic and Molecular Pathology, 
Jensen, Briar, 13455866, GSU, General Surgery, 
Madden, Rylan, 50939386, DRA, Diagnostic Radiology, 
Love, Blaine, 17423757, XXX, NOT_MATCHED, 
Stephens, Yasmin, 40911632, FMD, Family Medicine, 
Fernandez, Mariah, 66793543, MGG, Medical Genetics and Genomics, 
Mack, Paisley, 16117941, PDT, Pediatrics, 
Maxwell, Nina, 89420982, IMD, Internal Medicine, 
Buchanan, Marleigh, 47609450, IMD, Internal Medicine, 
Allison, Norah, 38974198, FMD, Family Medicine, 
Bean, Aurelia, 94133880, FMD, Family Medicine, 
Palmer, April, 59150146, FMD, Family Medicine, 
Moses, John, 83291255, IMD, Internal Medicine, 
Barton, Kalel, 25267793, IMD, Internal Medicine, 
Salinas, Brixton, 61793792, FMD, Family Medicine, 
Reyes, Rylan, 77581064, FMD, Family Medicine, 
Daniels, Poppy, 59861239, XXX, NOT_MATCHED, 
Espinosa, Colten, 29898701, DMP, Diagnostic and Molecular Pathology, 
Delgado, Karter, 71770940, IMD, Internal Medicine, 
Reyna, Ezequiel, 84661412, XXX, NOT_MATCHED, 
Walker, Daniella, 55238175, XXX, NOT_MATCHED, 
Black, Gabriella, 72526658, FMD, Family Medicine, 
Alexander, Kyson, 80806238, FMD, Family Medicine, 
Estes, Bennett, 96069477, FMD, Family Medicine, 
Silva, Evangeline, 34585381, CSU, Cardiac Surgery, 
Lozano, Henry, 62273647, DMT, Dermatology, 
Huynh, Emmeline, 43510477, XXX, NOT_MATCHED, 
Keith, Marlon, 89920992, FMD, Family Medicine, 
Li, Nathanael, 93991284, FMD, Family Medicine, 
Crawford, Lukas, 72039614, OBG, Obstetrics and Gynecology, 
Phelps, Amira, 14437753, IMD, Internal Medicine, 
David, Briana, 34830776, OBG, Obstetrics and Gynecology, 
Silva, Rory, 88115379, FMD, Family Medicine, 
Randall, Finn, 87764600, IMD, Internal Medicine, 
Drake, Sabrina, 16745992, FMD, Family Medicine, 
Fuentes, Gavin, 55955834, FMD, Family Medicine, 
McMillan, Giuliana, 93958421, XXX, NOT_MATCHED, 
Lawson, Wynter, 94199514, XXX, NOT_MATCHED, 
Whitaker, Erik, 88069008, XXX, NOT_MATCHED, 
Robbins, Jensen, 71176141, PSY, Psychiatry, 
Alexander, Brynleigh, 34974753, PMR, Physical Medicine & Rehabilitation, 
Dixon, Briella, 94370975, PSY, Psychiatry, 
Porter, Ayaan, 43154399, XXX, NOT_MATCHED, 
Leach, Junior, 50472125, FMD, Family Medicine, 
Ingram, Isabelle, 95233176, FMD, Family Medicine, 
Willis, Alessandro, 99307989, FMD, Family Medicine, 
Solomon, Denver, 86045281, XXX, NOT_MATCHED, 
Carr, Chance, 84959469, FMD, Family Medicine, 
Leonard, Jett, 38980125, XXX, NOT_MATCHED, 
Duarte, Isaiah, 81389713, FMD, Family Medicine, 
Guzman, Michelle, 29489778, XXX, NOT_MATCHED, 
Malone, Nevaeh, 51688338, FMD, Family Medicine, 
Donaldson, Kaylee, 87478355, PSY, Psychiatry, 
Richardson, Joyce, 87272342, GSU, General Surgery, 
Monroe, Tessa, 18347546, PSY, Psychiatry, 
Marquez, Jaylah, 69582600, XXX, NOT_MATCHED, 
McLaughlin, Reginald, 61851297, FMD, Family Medicine, 
Dodson, Ryder, 65003155, ORS, Orthopedic Surgery, 
Pace, Jones, 69105606, PSY, Psychiatry, 
Jackson, Harvey, 69945124, FMD, Family Medicine, 
Holt, Laura, 65173393, FMD, Family Medicine, 
Shaffer, Milena, 54107037, DMP, Diagnostic and Molecular Pathology, 
Adams, Kira, 49110520, IMD, Internal Medicine, 
Clayton, Enzo, 19468156, ROC, Radiation Oncology, 
Chase, Brynleigh, 80580076, XXX, NOT_MATCHED, 
Chase, Cain, 14619903, IMD, Internal Medicine, 
Rodriguez, Siena, 59339305, ANT, Anesthesiology, 
Hoover, Laurel, 24783507, PSY, Psychiatry, 
Leonard, Santos, 23603581, FMD, Family Medicine, 
Edwards, King, 95791246, XXX, NOT_MATCHED, 
Blevins, Kathryn, 83258017, XXX, NOT_MATCHED, 
Flores, Joel, 52842003, FMD, Family Medicine, 
Payne, Kaia, 62615077, IMD, Internal Medicine, 
Calhoun, Blaze, 94586077, OBG, Obstetrics and Gynecology, 
Hartman, Emilia, 53963112, OPH, Ophthalmology, 
Bender, Titus, 36951445, PDT, Pediatrics, 
Zimmerman, Braylon, 34189611, IMD, Internal Medicine, 
Morales, Kye, 48769932, NRO, Neurology, 
Fowler, Fatima, 59568692, FMD, Family Medicine, 
Clark, Brantley, 34486268, FMD, Family Medicine, 
Barrera, Miley, 57350043, XXX, NOT_MATCHED, 
Bennett, Rylan, 85594900, XXX, NOT_MATCHED, 
Hammond, Luciana, 42749673, XXX, NOT_MATCHED, 
Lu, Marlee, 58802517, DRA, Diagnostic Radiology, 
Harrison, Brody, 25715972, FMD, Family Medicine, 
Hensley, Owen, 97940846, IMD, Internal Medicine, 
Gill, Graysen, 36888864, IMD, Internal Medicine, 
House, Arianna, 48280919, GSU, General Surgery, 
Morrison, Diana, 40164855, PDT, Pediatrics, 
Hansen, Kelly, 46206221, FMD, Family Medicine, 
O’Donnell, Emir, 90957119, IMD, Internal Medicine, 
Boyle, Saoirse, 38115625, IMD, Internal Medicine, 
Grimes, Tripp, 68052601, XXX, NOT_MATCHED, 
Shepard, Jedidiah, 56270571, NRO, Neurology, 
Bell, Mekhi, 34044685, ROC, Radiation Oncology, 
McGuire, Stormi, 85856068, PDT, Pediatrics, 
Monroe, Alondra, 13932030, XXX, NOT_MATCHED, 
Bates, Caiden, 85482312, IMD, Internal Medicine, 
Archer, Gianna, 80684388, XXX, NOT_MATCHED, 
Vaughan, Sofia, 51904192, IMD, Internal Medicine, 
Morris, Octavia, 20146237, PDT, Pediatrics, 
Preston, Collin, 32809843, ANT, Anesthesiology, 
Hart, June, 30637284, IMD, Internal Medicine, 
Cruz, Eva, 26723718, XXX, NOT_MATCHED, 
Portillo, Adelina, 72183302, FMD, Family Medicine, 
McMillan, Josie, 32942013, XXX, NOT_MATCHED, 
Lambert, Lilith, 20077344, XXX, NOT_MATCHED, 
Mullen, Forrest, 56163639, FMD, Family Medicine, 
Vance, Alma, 13969301, OBG, Obstetrics and Gynecology, 
Wright, Nathalie, 66716622, FMD, Family Medicine, 
Gonzalez, Giovanna, 29048754, FMD, Family Medicine, 
Moody, Talia, 43183585, FMD, Family Medicine, 
Harding, Kyler, 74830117, XXX, NOT_MATCHED, 
Rose, Luka, 97003871, FMD, Family Medicine, 
Hurst, Mccoy, 54835669, FMD, Family Medicine, 
Pitts, Lionel, 73566022, XXX, NOT_MATCHED, 
Esquivel, Parker, 81337378, XXX, NOT_MATCHED, 
Rangel, Fisher, 78171440, FMD, Family Medicine, 
Briggs, Jianna, 27039038, EMD, Emergency Medicine, 
Johns, Cairo, 68523975, PSY, Psychiatry, 
Daugherty, Amara, 32239230, XXX, NOT_MATCHED, 
Cooper, Brock, 75051524, XXX, NOT_MATCHED, 
Mays, Nora, 75672275, IMD, Internal Medicine, 
Graves, Damir, 85199429, ANT, Anesthesiology, 
Farley, Soren, 86151229, FMD, Family Medicine, 
Robbins, Jaime, 79975473, IMD, Internal Medicine, 
Boyle, Bowen, 69690723, FMD, Family Medicine, 
Hess, Declan, 87355578, OBG, Obstetrics and Gynecology, 
Herrera, Cash, 30376921, FMD, Family Medicine, 
Whitney, Cohen, 33134639, PMR, Physical Medicine & Rehabilitation, 
McFarland, Landyn, 84629052, URO, Urology, 
Lindsey, Fabian, 11532870, FMD, Family Medicine, 
Bradley, Imani, 86394281, GSU, General Surgery, 
Noble, Elianna, 18724672, PDT, Pediatrics, 
Brewer, Kylie, 50796017, XXX, NOT_MATCHED, 
Shannon, Aydin, 48002444, FMD, Family Medicine, 
Hurley, Khalil, 26148718, IMD, Internal Medicine, 
McCullough, Zahra, 46736410, IMD, Internal Medicine, 
Clark, Kaisley, 73279181, PSU, Plastic Surgery, 
Drake, Tanner, 53662320, FMD, Family Medicine, 
Riley, Adrian, 11087912, EMD, Emergency Medicine, 
Stein, Alia, 61003115, PDT, Pediatrics, 
Melendez, Corey, 17173951, IMD, Internal Medicine, 
Whitehead, Evelynn, 71376484, IMD, Internal Medicine, 
Benitez, Rory, 13950201, FMD, Family Medicine, 
Brooks, Nasir, 92845588, FMD, Family Medicine, 
Barnett, Frank, 29770943, IMD, Internal Medicine, 
Faulkner, Meredith, 53052334, FMD, Family Medicine, 
Patton, Dayana, 31398978, ANT, Anesthesiology, 
Bass, Jase, 36444691, NRO, Neurology, 
Costa, Cooper, 25910852, OBG, Obstetrics and Gynecology, 
Hart, Rosalee, 59099522, GSU, General Surgery, 
Dawson, Colette, 10958421, FMD, Family Medicine, 
Lu, Bruce, 91671402, XXX, NOT_MATCHED, 
Lewis, Sophie, 82799465, IMD, Internal Medicine, 
Hawkins, Addyson, 46183508, FMD, Family Medicine, 
Guzman, Antonio, 15287105, FMD, Family Medicine, 
Davis, Leandro, 45171504, DMP, Diagnostic and Molecular Pathology, 
Wagner, Lainey, 91072251, FMD, Family Medicine, 
Fleming, Gatlin, 35432917, EMD, Emergency Medicine, 
Atkins, Charleigh, 30159778, FMD, Family Medicine, 
Pena, Mathias, 77290874, ORS, Orthopedic Surgery, 
Barton, Gael, 98272558, FMD, Family Medicine, 
Reeves, Anakin, 83553294, FMD, Family Medicine, 
Fuentes, Chelsea, 27128749, XXX, NOT_MATCHED, 
Barry, Keaton, 44879685, URO, Urology, 
Watson, Sarah, 70962290, GSU, General Surgery, 
Vega, Adalee, 14621634, IMD, Internal Medicine, 
Robinson, Reed, 75694158, FMD, Family Medicine, 
Jackson, Madison, 71821673, XXX, NOT_MATCHED, 
Taylor, Dulce, 69905435, FMD, Family Medicine, 
Patton, Hugo, 89699140, FMD, Family Medicine, 
Bennett, Nikolai, 29329456, FMD, Family Medicine, 
Lam, Banks, 70109502, XXX, NOT_MATCHED, 
Esparza, Adalee, 38003838, PDT, Pediatrics, 
Merritt, Kyro, 95577300, XXX, NOT_MATCHED, 
Roberts, Malakai, 51919014, XXX, NOT_MATCHED, 
Herman, Ethan, 99395535, XXX, NOT_MATCHED, 
Curtis, Braxton, 94002786, FMD, Family Medicine, 
Watson, Zeke, 22535186, PMR, Physical Medicine & Rehabilitation, 
Lambert, Harlow, 48788126, FMD, Family Medicine, 
Rice, Davian, 68608186, EMD, Emergency Medicine, 
Barton, Adelaide, 67850503, PDT, Pediatrics, 
Escobar, Trey, 88235686, IMD, Internal Medicine, 
Conway, Joyce, 26851304, XXX, NOT_MATCHED, 
Hardin, Ila, 74374226, XXX, NOT_MATCHED, 
Klein, Callan, 72053122, DMT, Dermatology, 
Bates, Demetrius, 44380412, XXX, NOT_MATCHED, 
Malone, Apollo, 55235654, XXX, NOT_MATCHED, 
Silva, Jedidiah, 31386039, IMD, Internal Medicine, 
Callahan, Kevin, 43921946, EMD, Emergency Medicine, 
Fox, Itzayana, 13787524, OPH, Ophthalmology, 
Hart, Everly, 95046412, XXX, NOT_MATCHED, 
Mills, Naya, 42453971, FMD, Family Medicine, 
Vang, Sutton, 79901220, FMD, Family Medicine, 
Peck, Zaniyah, 34838213, XXX, NOT_MATCHED, 
Velasquez, Giana, 99008696, EMD, Emergency Medicine, 
Herring, Kaylee, 24381903, XXX, NOT_MATCHED, 
Kaur, Denver, 19833836, XXX, NOT_MATCHED, 
Morales, Vincent, 11827749, FMD, Family Medicine, 
Larson, Imani, 24465897, XXX, NOT_MATCHED, 
Truong, Melany, 58207421, OBG, Obstetrics and Gynecology, 
Warner, Alia, 90764501, XXX, NOT_MATCHED, 
Vo, Daxton, 50549527, XXX, NOT_MATCHED, 
Marks, Enrique, 70342276, FMD, Family Medicine, 
Burgess, Kiara, 70700560, XXX, NOT_MATCHED, 
Bernard, Nylah, 95562892, FMD, Family Medicine, 
Rubio, Nolan, 21441880, XXX, NOT_MATCHED, 
Spears, Jaycee, 65944564, OBG, Obstetrics and Gynecology, 
Hubbard, Chandler, 31506639, CSU, Cardiac Surgery, 
Padilla, Caden, 71780148, XXX, NOT_MATCHED, 
Carter, Dion, 70901994, FMD, Family Medicine, 
Pineda, Stevie, 25808684, FMD, Family Medicine, 
Brandt, Harmony, 13490315, XXX, NOT_MATCHED, 
Wolf, Nikolai, 74536380, FMD, Family Medicine, 
Lawrence, Moshe, 60253551, FMD, Family Medicine, 
Villarreal, Terrance, 57866646, FMD, Family Medicine, 
Bentley, Roland, 13174323, ORS, Orthopedic Surgery, 
Stephenson, Kieran, 92595678, PSY, Psychiatry, 
Rocha, Kameron, 26694938, IMD, Internal Medicine, 
Cantrell, Dakari, 42928216, MGG, Medical Genetics and Genomics, 
Curtis, Kalel, 26570950, PSY, Psychiatry, 
McCoy, Huxley, 71513040, FMD, Family Medicine, 
Harper, Lionel, 83413189, FMD, Family Medicine, 
Hogan, Amina, 76383084, XXX, NOT_MATCHED, 
Jimenez, Analia, 42030938, XXX, NOT_MATCHED, 
Shepard, Jayleen, 26632658, DRA, Diagnostic Radiology, 
Shepard, Jovanni, 17649785, XXX, NOT_MATCHED, 
Nielsen, Forrest, 95377266, FMD, Family Medicine, 
Phelps, Rayden, 33755123, GSU, General Surgery, 
Potter, Kyla, 68747703, XXX, NOT_MATCHED, 
Ochoa, Silas, 73370202, XXX, NOT_MATCHED, 
Li, Collins, 78748286, FMD, Family Medicine, 
Stanley, Naya, 36641270, PDT, Pediatrics, 
Fitzpatrick, Lexie, 82862519, PDT, Pediatrics, 
Moreno, Christian, 88913396, PSY, Psychiatry, 
Robles, Ricky, 88037740, FMD, Family Medicine, 
Mendez, Brody, 85589239, FMD, Family Medicine, 
Terry, Lincoln, 48973579, XXX, NOT_MATCHED, 
Compton, Laylani, 46510341, XXX, NOT_MATCHED, 
Hampton, Nico, 84050622, FMD, Family Medicine, 
Spence, Finnegan, 11646715, XXX, NOT_MATCHED, 
Browning, Aspen, 36285170, XXX, NOT_MATCHED, 
Pearson, Esmeralda, 25377561, XXX, NOT_MATCHED, 
Dyer, Annalise, 74345568, XXX, NOT_MATCHED, 
Rogers, Amos, 67277772, FMD, Family Medicine, 
Cortes, Navy, 88733734, XXX, NOT_MATCHED, 
Beil, Kohen, 21644622, IMD, Internal Medicine, 
Allison, Nicolas, 98698266, XXX, NOT_MATCHED, 
Gibson, Ronald, 41778358, FMD, Family Medicine, 
Norris, Milo, 68563460, IMD, Internal Medicine, 
Brandt, Neil, 41369026, FMD, Family Medicine, 
Shepard, Tiana, 18211460, XXX, NOT_MATCHED, 
Jacobs, Harlan, 72024667, FMD, Family Medicine, 
Goodman, Marlowe, 45956684, XXX, NOT_MATCHED, 
Love, Colter, 51318917, FMD, Family Medicine, 
Beil, Bryan, 53021559, OTO, Otolaryngology - Head and Neck Surgery, 
Pratt, Haley, 45979339, FMD, Family Medicine, 
Turner, Ahmad, 41557980, XXX, NOT_MATCHED, 
Mitchell, Zayd, 12332810, GSU, General Surgery, 
Lopez, Mila, 56579919, PMR, Physical Medicine & Rehabilitation, 
Cline, Judah, 95056493, ANT, Anesthesiology, 
Friedman, Dakari, 14942579, XXX, NOT_MATCHED, 
McDonald, Romeo, 40704347, FMD, Family Medicine, 
